run,gpus,series,concurrency,isl,osl,requested,valid,errors,status,req_s,out_tps,out_tps_per_gpu,tps_user_p50,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,e2e_p99_ms,isl_observed,slo_ok
20260926T132213Z-sweep-qwen3-0.6b-canary-2xB300-chat-c1,2,qwen3-0.6b-canary-2xB300-chat,1,800,256,16,16,0,ok,2.3613107545855665,604.495553173905,302.2477765869525,679.3091919572928,45.462565,50.344575549999995,1.472086776470588,1.5088498382352942,434.87948289999997,808.0,True
20260926T132234Z-sweep-qwen3-0.6b-canary-2xB300-chat-c8,2,qwen3-0.6b-canary-2xB300-chat,8,800,256,32,32,0,ok,16.753650406683686,4288.934504111024,2144.467252055512,709.2358498446235,45.722263999999996,49.14589721,1.409980750980392,1.8461618259607844,518.60435344,808.0,True
20260926T132249Z-sweep-qwen3-0.6b-canary-2xB300-chat-c32,2,qwen3-0.6b-canary-2xB300-chat,32,800,256,128,128,0,ok,53.857347937328264,13787.481071956036,6893.740535978018,544.6268596001074,52.1315135,71.63526612,1.8361196666666664,2.383864991882353,654.67180632,808.0,True
20260926T132304Z-sweep-qwen3-0.6b-canary-2xB300-chat-c128,2,qwen3-0.6b-canary-2xB300-chat,128,800,256,512,512,0,ok,144.18208432822397,36910.613588025335,18455.306794012668,345.1848803917343,94.7763805,152.42361412,2.8969986745098035,3.374633434509804,966.7635823299998,808.0,True
