run,gpus,series,concurrency,isl,osl,requested,valid,errors,status,req_s,out_tps,out_tps_per_gpu,tps_user_p50,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,e2e_p99_ms,isl_observed,slo_ok
20260926T205801Z-sweep-nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat-c8,4,nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat,8,800,256,32,32,0,ok,8.253829085566482,2112.9802459050193,528.2450614762548,352.40443952589715,70.57509999999999,624.38912171,2.8376532098039213,3.5736416368235293,1482.05648717,816.0,True
20260926T205820Z-sweep-nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat-c32,4,nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat,32,800,256,128,128,0,ok,18.670684750502232,4779.6952961285715,1194.9238240321429,179.60685753680468,158.10751,248.66683625,5.567716160784313,7.23629432082353,1953.3960244900002,816.0,True
20260926T205851Z-sweep-nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat-c128,4,nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat,128,800,256,512,512,0,ok,51.99325618058651,13310.273582230147,3327.568395557537,127.16262963271937,198.61575499999998,333.20175442,7.863949811764706,12.18156660952941,3294.6029384299995,816.0,True
20260926T205919Z-sweep-nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat-c256,4,nemotron-3.5-lightning-pruned-a2.5b-4xB300-chat,256,800,256,1024,1024,0,ok,96.23286240993329,24635.612776942922,6158.903194235731,111.71899073374144,210.14265799999998,817.52632317,8.951120927450981,11.818580302627451,3457.7676247199997,816.0,True
