run,gpus,series,concurrency,isl,osl,requested,valid,errors,status,req_s,out_tps,out_tps_per_gpu,tps_user_p50,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,e2e_p99_ms,isl_observed,slo_ok
20260926T144724Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent-c1,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent,1,16000,512,16,16,0,ok,0.457771863777801,234.3791942542341,234.3791942542341,261.16532116027975,214.900131,227.03417315,3.828992296477495,3.8333729902152642,2185.2775023,16010.1875,True
20260926T144821Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent-c4,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent,4,16000,512,16,16,0,ok,1.5010665657736784,768.5460816761233,768.5460816761233,202.48909890382447,137.390369,145.63081725,4.938538009784735,4.950325555772994,2667.6547589499996,16010.1875,True
20260926T144850Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent-c16,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent,16,16000,512,64,64,0,ok,2.755661175237477,1410.8985217215882,1410.8985217215882,119.48691987226192,1485.6266899999998,3285.10458558,8.369167168297457,11.74472128927593,7845.782867799999,16010.1875,False
20260926T144934Z-sweep-qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent-c64,1,qwen3.6-35b-a3b-fp8-1xB300-dyn1.5-coding-agent,64,16000,512,256,256,0,ok,4.180889907556051,2140.6156326686983,2140.6156326686983,35.80316618073046,2881.6635085,13067.886985249997,27.930537275929545,35.11030207896281,28717.091239349997,16010.14453125,False
