run,gpus,series,concurrency,isl,osl,requested,valid,errors,status,req_s,out_tps,out_tps_per_gpu,tps_user_p50,ttft_p50_ms,ttft_p99_ms,itl_p50_ms,itl_p99_ms,e2e_p99_ms,isl_observed,slo_ok
20260926T134857Z-sweep-gpt-oss-20b-1xB300-coding-agent-c1,1,gpt-oss-20b-1xB300-coding-agent,1,16000,512,16,16,0,ok,0.8075746795346056,413.47823592171807,413.47823592171807,503.3680133320868,172.3928435,186.08728035,1.986618114481409,2.479119109197651,1450.42082545,16067.0,True
20260926T134939Z-sweep-gpt-oss-20b-1xB300-coding-agent-c4,1,gpt-oss-20b-1xB300-coding-agent,4,16000,512,16,16,0,ok,2.9309467391197916,1500.6447304293333,1500.6447304293333,399.48165949612115,74.197328,76.9800623,2.503243831702544,2.5147887872798433,1359.1525000999998,16067.0,True
20260926T135002Z-sweep-gpt-oss-20b-1xB300-coding-agent-c16,1,gpt-oss-20b-1xB300-coding-agent,16,16000,512,64,64,0,ok,4.650614371391677,2381.114558152539,2381.114558152539,227.08522363014654,1015.5575225,2027.179205,4.404676190802348,6.847753939491193,4697.923092999999,16067.0,False
20260926T135035Z-sweep-gpt-oss-20b-1xB300-coding-agent-c64,1,gpt-oss-20b-1xB300-coding-agent,64,16000,512,256,256,0,ok,6.645349799415868,3402.4190973009245,3402.4190973009245,66.20073538572207,1038.2526395,8040.661472599999,15.106452192759294,20.844756141095885,18202.106800049998,16067.01171875,False
